ts total_used_gb shm_gb pss_total_gb pss_actors_gb pss_forked_gb n_proc top3
06:28:24 9.3 0.0 0.0 0.0 0.0 0 
06:28:44 9.9 0.0 1.0 1.0 0.0 1 1099522:1.0G:python3
06:48:15 116.3 30.6 120.5 103.5 17.1 94 1104037:52.9G:ay::TaskRunner.run|1104349:22.4G:ray::WorkerDict|1105605:15.2G:VLLM::Worker
06:48:38 147.0 30.6 134.5 117.5 17.1 94 1104349:52.4G:rollout_compute_lo|1104037:36.9G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:49:00 115.0 30.6 104.4 87.3 17.1 94 1104037:36.9G:ay::TaskRunner.run|1104349:22.3G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
06:49:22 115.0 30.6 104.5 87.4 17.1 94 1104037:36.9G:ay::TaskRunner.run|1104349:22.4G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
06:49:45 115.0 30.6 104.5 87.4 17.1 94 1104037:36.9G:ay::TaskRunner.run|1104349:22.4G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
06:50:07 114.9 30.6 104.4 87.3 17.1 94 1104037:36.9G:ay::TaskRunner.run|1104349:22.3G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
06:50:30 114.9 30.6 104.4 87.3 17.1 94 1104037:36.9G:ay::TaskRunner.run|1104349:22.3G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
06:50:52 119.0 30.6 105.2 88.2 17.1 94 1104349:38.4G:ray::WorkerDict|1104037:21.6G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:51:15 131.0 30.6 135.8 118.8 17.1 94 1104037:52.2G:ay::TaskRunner.run|1104349:38.4G:ray::WorkerDict|1105605:15.2G:VLLM::Worker
06:51:38 129.9 30.6 136.5 119.4 17.1 94 1104349:70.5G:rollout_compute_lo|1104037:20.8G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:52:00 98.8 30.6 88.3 71.3 17.1 94 1104349:22.3G:rollout_compute_lo|1104037:20.8G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:52:22 99.0 30.6 88.5 71.4 17.1 94 1104349:22.4G:rollout_compute_lo|1104037:20.8G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:52:45 99.0 30.6 88.5 71.4 17.1 94 1104349:22.4G:rollout_compute_lo|1104037:20.8G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:53:07 98.8 30.6 88.3 71.3 17.1 94 1104349:22.3G:rollout_compute_lo|1104037:20.8G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:53:30 105.0 30.6 92.1 75.0 17.1 94 1104349:26.0G:rollout_compute_lo|1104037:20.8G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:53:52 124.2 30.6 110.9 93.8 17.1 94 1104037:43.3G:ay::TaskRunner.run|1104349:22.4G:ray::WorkerDict|1105605:15.2G:VLLM::Worker
06:54:15 124.6 30.6 112.0 94.9 17.1 94 1104349:45.8G:rollout_update_act|1104037:21.0G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:54:37 98.9 30.6 88.4 71.3 17.1 94 1104349:22.2G:rollout_update_act|1104037:21.0G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:55:00 98.9 30.6 88.4 71.3 17.1 94 1104349:22.2G:rollout_update_act|1104037:21.0G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:55:22 98.9 30.6 88.8 71.7 17.1 94 1104349:22.6G:rollout_update_act|1104037:21.0G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:55:44 98.9 30.6 88.4 71.3 17.1 94 1104349:22.2G:rollout_update_act|1104037:21.0G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:56:07 99.4 30.6 88.9 71.8 17.1 94 1104349:22.7G:rollout_update_act|1104037:21.0G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:56:29 98.9 30.6 88.4 71.3 17.1 94 1104349:22.2G:rollout_update_act|1104037:21.0G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:56:52 98.9 30.6 88.9 71.8 17.1 94 1104349:22.7G:rollout_update_act|1104037:21.0G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:57:14 99.4 30.6 88.4 71.3 17.1 94 1104349:22.2G:rollout_update_act|1104037:21.0G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:57:37 98.9 30.6 88.4 71.3 17.1 94 1104349:22.2G:rollout_update_act|1104037:21.0G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:57:59 98.9 30.6 88.4 71.3 17.1 94 1104349:22.2G:rollout_update_act|1104037:21.0G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:58:22 99.3 30.6 88.4 71.3 17.1 94 1104349:22.2G:rollout_update_act|1104037:21.0G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:58:44 98.9 30.6 88.8 71.7 17.1 94 1104349:22.6G:rollout_update_act|1104037:21.0G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:59:06 98.9 30.6 88.4 71.3 17.1 94 1104349:22.2G:rollout_update_act|1104037:21.0G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:59:29 95.1 30.6 81.9 64.8 17.1 94 1104037:21.0G:ay::TaskRunner.run|1104349:15.7G:rollout_update_wei|1105605:15.2G:VLLM::Worker
06:59:51 110.3 30.6 99.0 81.5 17.4 94 1104349:22.4G:ray::WorkerDict|1104037:20.5G:ay::TaskRunner.run|1105605:15.5G:VLLM::Worker
07:00:14 118.6 30.6 107.4 87.1 20.3 94 1104349:22.4G:ray::WorkerDict|1104037:20.5G:ay::TaskRunner.run|1105605:18.2G:VLLM::Worker
07:00:37 122.1 30.6 111.7 88.8 22.9 94 1104349:22.4G:ray::WorkerDict|1104037:20.5G:ay::TaskRunner.run|1105605:20.1G:VLLM::Worker
07:01:00 124.6 30.6 113.9 89.8 24.0 94 1104349:22.3G:ray::WorkerDict|1105605:20.7G:VLLM::Worker|1104037:20.5G:ay::TaskRunner.run
07:01:23 126.6 30.6 115.6 92.0 23.6 94 1104349:22.3G:ray::WorkerDict|1104037:20.5G:ay::TaskRunner.run|1105605:19.9G:VLLM::Worker
07:01:46 120.5 30.6 116.1 97.1 19.0 94 1104349:22.3G:ray::WorkerDict|1104037:20.5G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
07:02:09 118.1 30.6 107.5 88.5 19.0 94 1104037:34.1G:ay::TaskRunner.run|1104349:21.9G:ray::WorkerDict|1105605:15.2G:VLLM::Worker
07:02:32 118.1 30.6 107.5 88.5 19.0 94 1104037:34.1G:ay::TaskRunner.run|1104349:21.9G:ray::WorkerDict|1105605:15.2G:VLLM::Worker
07:02:55 118.1 30.6 107.5 88.5 19.0 94 1104037:34.1G:ay::TaskRunner.run|1104349:21.9G:ray::WorkerDict|1105605:15.2G:VLLM::Worker
07:03:18 118.1 30.6 107.5 88.5 19.0 94 1104037:34.1G:ay::TaskRunner.run|1104349:21.9G:ray::WorkerDict|1105605:15.2G:VLLM::Worker
07:03:40 118.1 30.6 107.5 88.5 19.0 94 1104037:34.1G:ay::TaskRunner.run|1104349:21.9G:ray::WorkerDict|1105605:15.2G:VLLM::Worker
07:04:03 118.1 30.6 107.5 88.5 19.0 94 1104037:34.1G:ay::TaskRunner.run|1104349:21.9G:ray::WorkerDict|1105605:15.2G:VLLM::Worker
07:04:26 118.1 30.6 107.5 88.5 19.0 94 1104037:34.1G:ay::TaskRunner.run|1104349:21.9G:ray::WorkerDict|1105605:15.2G:VLLM::Worker
07:04:48 127.2 30.9 112.5 95.5 17.1 94 1104037:43.8G:ay::TaskRunner.run|1104349:21.9G:ray::WorkerDict|1105605:15.2G:VLLM::Worker
07:05:11 125.0 30.9 111.5 94.4 17.1 94 1104037:36.4G:ay::TaskRunner.run|1104349:28.4G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
07:05:34 115.5 30.9 104.9 87.8 17.1 94 1104037:36.4G:ay::TaskRunner.run|1104349:21.8G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
07:05:56 115.5 30.9 104.9 87.8 17.1 94 1104037:36.4G:ay::TaskRunner.run|1104349:21.8G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
07:06:19 115.6 30.9 105.0 87.9 17.1 94 1104037:36.4G:ay::TaskRunner.run|1104349:21.9G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
07:06:42 115.6 30.9 105.0 87.9 17.1 94 1104037:36.4G:ay::TaskRunner.run|1104349:21.9G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
07:07:04 115.5 30.9 104.9 87.8 17.1 94 1104037:36.4G:ay::TaskRunner.run|1104349:21.8G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
07:07:27 123.9 30.9 110.5 93.4 17.1 94 1104037:36.4G:ay::TaskRunner.run|1104349:27.4G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
07:07:50 145.0 30.9 130.1 113.1 17.1 94 1104037:61.4G:ay::TaskRunner.run|1104349:21.9G:ray::WorkerDict|1105605:15.2G:VLLM::Worker
07:08:13 146.0 30.9 133.2 116.1 17.1 94 1104349:50.0G:rollout_compute_lo|1104037:36.5G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
07:08:35 115.6 30.9 105.0 88.0 17.1 94 1104037:36.5G:ay::TaskRunner.run|1104349:21.8G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
07:08:58 115.7 30.9 105.2 88.1 17.1 94 1104037:36.5G:ay::TaskRunner.run|1104349:21.9G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
