ts total_used_gb shm_gb pss_total_gb pss_actors_gb pss_forked_gb n_proc top3
08:39:45 9.3 0.0 0.0 0.0 0.0 0 
08:40:05 10.3 0.0 1.0 1.0 0.0 1 1656310:1.0G:python3
09:04:35 130.8 29.4 120.1 103.0 17.1 94 1661172:54.5G:rollout_update_act|1660829:20.6G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:04:58 130.4 29.4 119.7 102.6 17.1 94 1661172:54.1G:rollout_update_act|1660829:20.6G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:05:20 98.1 29.4 87.4 70.3 17.1 94 1661172:21.8G:rollout_update_act|1660829:20.6G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:05:43 98.1 29.4 87.9 70.8 17.1 94 1661172:22.3G:rollout_update_act|1660829:20.6G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:06:05 98.1 29.4 87.4 70.3 17.1 94 1661172:21.8G:rollout_update_act|1660829:20.6G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:06:28 98.1 29.4 87.4 70.3 17.1 94 1661172:21.8G:rollout_update_act|1660829:20.6G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:06:51 98.6 29.4 87.4 70.3 17.1 94 1661172:21.8G:rollout_update_act|1660829:20.6G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:07:13 98.5 29.4 87.4 70.3 17.1 94 1661172:21.8G:rollout_update_act|1660829:20.6G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:07:36 98.1 29.4 87.8 70.7 17.1 94 1661172:22.2G:rollout_update_act|1660829:20.6G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:07:59 98.1 29.4 87.4 70.3 17.1 94 1661172:21.8G:rollout_update_act|1660829:20.6G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:08:21 98.5 29.4 87.5 70.4 17.1 94 1661172:21.9G:rollout_update_act|1660829:20.6G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:08:44 87.5 29.4 75.2 58.1 17.1 94 1660829:20.2G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker|1661172:5.3G:ray::WorkerDict
09:09:07 97.6 29.4 85.6 66.8 18.7 94 1660829:20.1G:ay::TaskRunner.run|1662396:16.6G:VLLM::Worker|1661601:7.6G:ttpServer.generate
09:09:30 103.4 29.4 92.1 71.8 20.4 94 1660829:20.1G:ay::TaskRunner.run|1662396:17.9G:VLLM::Worker|1661601:11.9G:ay::vLLMHttpServer
09:09:53 105.7 29.4 94.8 71.8 23.0 94 1660829:20.1G:ay::TaskRunner.run|1662396:19.8G:VLLM::Worker|1661601:11.8G:ttpServer.generate
09:10:16 107.8 29.4 96.8 73.5 23.3 94 1660829:20.0G:ay::TaskRunner.run|1662396:19.6G:VLLM::Worker|1661601:11.2G:ttpServer.generate
09:10:39 110.2 29.4 100.1 77.3 22.9 94 1660829:20.0G:ay::TaskRunner.run|1662396:19.0G:VLLM::Worker|1661601:7.9G:ay::vLLMHttpServer
09:11:02 96.0 29.4 83.1 64.0 19.0 94 1660829:29.9G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker|1661172:4.8G:ray::WorkerDict
09:11:25 124.7 29.4 110.1 93.0 17.1 94 1660829:58.9G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker|1661172:4.8G:ray::WorkerDict
09:11:48 129.0 29.4 115.6 98.5 17.1 94 1660829:36.1G:ay::TaskRunner.run|1661172:33.1G:rollout_compute_lo|1662396:15.2G:VLLM::Worker
09:12:11 114.6 29.4 103.7 86.7 17.1 94 1660829:36.1G:ay::TaskRunner.run|1661172:21.3G:rollout_compute_lo|1662396:15.2G:VLLM::Worker
09:12:34 114.7 29.4 103.9 86.8 17.1 94 1660829:36.1G:ay::TaskRunner.run|1661172:21.4G:rollout_compute_lo|1662396:15.2G:VLLM::Worker
09:12:57 114.7 29.4 103.9 86.8 17.1 94 1660829:36.1G:ay::TaskRunner.run|1661172:21.4G:rollout_compute_lo|1662396:15.2G:VLLM::Worker
09:13:20 114.6 29.4 103.7 86.7 17.1 94 1660829:36.1G:ay::TaskRunner.run|1661172:21.3G:rollout_compute_lo|1662396:15.2G:VLLM::Worker
09:13:43 124.6 29.4 109.3 92.2 17.1 94 1660829:42.1G:ay::TaskRunner.run|1661172:20.8G:ray::WorkerDict|1662396:15.2G:VLLM::Worker
09:14:07 130.2 29.4 119.4 102.3 17.1 94 1660829:52.2G:ay::TaskRunner.run|1661172:20.8G:ray::WorkerDict|1662396:15.2G:VLLM::Worker
09:14:30 146.0 29.4 132.5 115.4 17.1 94 1661172:49.9G:rollout_compute_lo|1660829:36.2G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:14:53 130.7 29.4 119.9 102.8 17.1 94 1661172:37.3G:rollout_compute_lo|1660829:36.2G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:15:16 130.8 29.4 120.0 102.9 17.1 94 1661172:37.4G:rollout_compute_lo|1660829:36.2G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:15:40 130.8 29.4 120.0 102.9 17.1 94 1661172:37.4G:rollout_compute_lo|1660829:36.2G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:16:03 130.7 29.4 119.9 102.8 17.1 94 1661172:37.3G:rollout_compute_lo|1660829:36.2G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:16:26 151.3 29.4 135.8 118.8 17.1 94 1660829:52.6G:ay::TaskRunner.run|1661172:36.8G:ray::WorkerDict|1662396:15.2G:VLLM::Worker
09:16:50 147.5 29.4 132.6 115.5 17.1 94 1661172:49.8G:rollout_update_act|1660829:36.4G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:17:13 147.2 29.4 136.0 118.9 17.1 94 1661172:53.2G:rollout_update_act|1660829:36.4G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:17:36 146.8 29.4 136.0 118.9 17.1 94 1661172:53.2G:rollout_update_act|1660829:36.4G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:17:59 146.8 29.4 136.3 119.3 17.1 94 1661172:53.6G:rollout_update_act|1660829:36.4G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:18:23 146.8 29.4 136.0 118.9 17.1 94 1661172:53.2G:rollout_update_act|1660829:36.4G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:18:46 115.3 29.4 104.2 87.1 17.1 94 1660829:36.4G:ay::TaskRunner.run|1661172:21.4G:rollout_update_act|1662396:15.2G:VLLM::Worker
09:19:09 114.8 29.4 104.0 86.9 17.1 94 1660829:36.4G:ay::TaskRunner.run|1661172:21.2G:rollout_update_act|1662396:15.2G:VLLM::Worker
09:19:32 114.8 29.4 104.0 86.9 17.1 94 1660829:36.4G:ay::TaskRunner.run|1661172:21.2G:rollout_update_act|1662396:15.2G:VLLM::Worker
09:19:55 114.8 29.4 104.5 87.4 17.1 94 1660829:36.4G:ay::TaskRunner.run|1661172:21.7G:rollout_update_act|1662396:15.2G:VLLM::Worker
09:20:18 115.1 29.4 104.0 86.9 17.1 94 1660829:36.4G:ay::TaskRunner.run|1661172:21.2G:rollout_update_act|1662396:15.2G:VLLM::Worker
09:20:41 114.8 29.4 104.3 87.3 17.1 94 1660829:36.4G:ay::TaskRunner.run|1661172:21.5G:rollout_update_act|1662396:15.2G:VLLM::Worker
09:21:04 115.1 29.4 104.0 86.9 17.1 94 1660829:36.4G:ay::TaskRunner.run|1661172:21.2G:rollout_update_act|1662396:15.2G:VLLM::Worker
09:21:27 114.8 29.4 104.0 86.9 17.1 94 1660829:36.4G:ay::TaskRunner.run|1661172:21.2G:rollout_update_act|1662396:15.2G:VLLM::Worker
09:21:50 107.7 29.4 96.4 79.3 17.1 94 1660829:36.0G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker|1661172:4.8G:ray::WorkerDict
09:22:14 115.8 29.4 104.3 84.6 19.7 94 1660829:36.0G:ay::TaskRunner.run|1662396:17.6G:VLLM::Worker|1661601:8.4G:ttpServer.generate
09:22:37 121.3 29.4 110.4 87.8 22.6 94 1660829:36.0G:ay::TaskRunner.run|1662396:19.8G:VLLM::Worker|1661601:11.5G:ttpServer.generate
09:23:00 123.5 29.4 112.2 88.4 23.7 94 1660829:36.0G:ay::TaskRunner.run|1662396:20.4G:VLLM::Worker|1661601:11.6G:ttpServer.generate
09:23:24 125.6 29.4 114.8 91.0 23.8 94 1660829:35.9G:ay::TaskRunner.run|1662396:19.8G:VLLM::Worker|1661601:10.8G:ay::vLLMHttpServer
09:23:48 127.8 29.4 116.3 94.1 22.2 94 1660829:35.9G:ay::TaskRunner.run|1662396:18.2G:VLLM::Worker|1661601:6.5G:ay::vLLMHttpServer
09:24:11 116.9 29.5 102.9 83.7 19.2 94 1660829:48.9G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker|1661172:4.5G:ray::WorkerDict
09:24:35 129.0 29.5 134.7 117.6 17.1 94 1660829:82.9G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker|1661172:4.5G:ray::WorkerDict
09:24:58 131.2 29.5 120.3 103.3 17.1 94 1660829:52.0G:ay::TaskRunner.run|1661172:21.0G:rollout_compute_lo|1662396:15.2G:VLLM::Worker
09:25:22 131.3 29.5 120.3 103.3 17.1 94 1660829:52.0G:ay::TaskRunner.run|1661172:21.0G:rollout_compute_lo|1662396:15.2G:VLLM::Worker
09:25:45 131.3 29.5 120.5 103.4 17.1 94 1660829:52.0G:ay::TaskRunner.run|1661172:21.1G:rollout_compute_lo|1662396:15.2G:VLLM::Worker
09:26:09 131.2 29.5 120.5 103.4 17.1 94 1660829:52.0G:ay::TaskRunner.run|1661172:21.1G:rollout_compute_lo|1662396:15.2G:VLLM::Worker
09:26:32 131.1 29.5 120.3 103.3 17.1 94 1660829:52.0G:ay::TaskRunner.run|1661172:21.0G:rollout_compute_lo|1662396:15.2G:VLLM::Worker
09:26:56 158.7 29.5 144.1 127.0 17.1 94 1660829:76.3G:ay::TaskRunner.run|1661172:20.5G:ray::WorkerDict|1662396:15.2G:VLLM::Worker
09:27:20 160.4 29.5 146.4 129.3 17.1 94 1660829:52.2G:ay::TaskRunner.run|1661172:46.9G:rollout_compute_lo|1662396:15.2G:VLLM::Worker
09:27:43 147.4 29.5 136.5 119.4 17.1 94 1660829:52.2G:ay::TaskRunner.run|1661172:37.0G:rollout_compute_lo|1662396:15.2G:VLLM::Worker
09:28:07 147.5 29.5 136.6 119.5 17.1 94 1660829:52.2G:ay::TaskRunner.run|1661172:37.1G:rollout_compute_lo|1662396:15.2G:VLLM::Worker
09:28:31 147.5 29.5 136.6 119.6 17.1 94 1660829:52.2G:ay::TaskRunner.run|1661172:37.2G:rollout_compute_lo|1662396:15.2G:VLLM::Worker
09:28:54 147.4 29.5 136.5 119.4 17.1 94 1660829:52.2G:ay::TaskRunner.run|1661172:37.0G:rollout_compute_lo|1662396:15.2G:VLLM::Worker
09:29:18 171.3 29.5 156.1 139.1 17.1 94 1660829:72.3G:ay::TaskRunner.run|1661172:36.6G:ray::WorkerDict|1662396:15.2G:VLLM::Worker
09:29:42 161.1 29.5 146.5 129.4 17.1 94 1660829:52.4G:ay::TaskRunner.run|1661172:46.9G:rollout_update_act|1662396:15.2G:VLLM::Worker
09:30:05 163.5 29.5 152.6 135.5 17.1 94 1661172:52.9G:rollout_update_act|1660829:52.4G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:30:29 163.5 29.5 152.6 135.5 17.1 94 1661172:52.9G:rollout_update_act|1660829:52.4G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:30:53 163.5 29.5 153.0 135.9 17.1 94 1661172:53.3G:rollout_update_act|1660829:52.4G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:31:16 164.0 29.5 152.6 135.5 17.1 94 1661172:52.9G:rollout_update_act|1660829:52.4G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:31:40 131.4 29.5 121.0 103.9 17.1 94 1660829:52.4G:ay::TaskRunner.run|1661172:21.4G:rollout_update_act|1662396:15.2G:VLLM::Worker
09:32:03 131.9 29.5 121.0 103.9 17.1 94 1660829:52.4G:ay::TaskRunner.run|1661172:21.4G:rollout_update_act|1662396:15.2G:VLLM::Worker
09:32:27 131.9 29.5 120.5 103.4 17.1 94 1660829:52.4G:ay::TaskRunner.run|1661172:20.9G:rollout_update_act|1662396:15.2G:VLLM::Worker
09:32:50 131.4 29.5 120.5 103.4 17.1 94 1660829:52.4G:ay::TaskRunner.run|1661172:20.9G:rollout_update_act|1662396:15.2G:VLLM::Worker
09:33:14 131.4 29.5 121.0 103.9 17.1 94 1660829:52.4G:ay::TaskRunner.run|1661172:21.4G:rollout_update_act|1662396:15.2G:VLLM::Worker
09:33:37 131.4 29.5 120.5 103.4 17.1 94 1660829:52.4G:ay::TaskRunner.run|1661172:20.9G:rollout_update_act|1662396:15.2G:VLLM::Worker
09:34:00 131.8 29.5 120.5 103.4 17.1 94 1660829:52.4G:ay::TaskRunner.run|1661172:20.9G:rollout_update_act|1662396:15.2G:VLLM::Worker
09:34:23 131.4 29.5 120.5 103.4 17.1 94 1660829:52.4G:ay::TaskRunner.run|1661172:20.9G:rollout_update_act|1662396:15.2G:VLLM::Worker
09:34:46 82.9 17.2 67.4 67.4 0.0 75 1660829:52.3G:ay::TaskRunner.run|1661172:4.5G:ray::WorkerDict|1661601:2.7G:ay::vLLMHttpServer
09:35:06 9.6 0.0 0.0 0.0 0.0 0 
